м.Київ;147.9570139178581;150.60232200024313
Львівська область;146.74704719664464;151.54788925438598
Харківська область;144.1049806308799;145.48914858096828
Київська область;144.09018640350877;144.2685641306331
Чернігівська область;143.56978396816373;144.0054927809165
Волинська область;142.85290329505204;145.17898064006323
Черкаська область;142.08184876043353;143.2068567026194
Тернопільська область;141.17690807120215;144.8429857464366
Полтавська область;141.14939290917923;143.019522046449
Житомирська область;141.13055260361318;143.82634479453696
Сумська область;140.8216823879054;145.0194167422182
Хмельницька область;140.4283663050415;144.16810027033668
Івано-Франківська область;140.33404373610082;145.47132874889087
Кіровоградська область;139.77791601866252;141.34582106038292
Дніпропетровська область;139.3853148636016;141.55221693807945
Вінницька область;139.34680563290635;143.18939112678672
Донецька область;139.32659746447715;140.3553569730963
Рівненська область;139.14336683417085;145.49370155038758
Луганська область;138.64106175514627;140.8725272007913
Запорізька область;138.22786375239312;138.93355929055622
Миколаївська область;137.86404389134216;138.9241610738255
Херсонська область;137.64683657786884;139.2219910617969
Одеська область;137.62443566591423;140.7457071495473
Чернівецька область;133.1958555187797;140.87248707639287
Закарпатська область;132.3459335624284;136.03411938098748
